2017-07-01 16:41:20,605 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TestNGDemo:TestNGDemo:0.0.1-SNAPSHOT @ C:\Users\nitin\TestNG\TestNGDemo\pom.xml.
2017-07-01 16:41:24,864 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 16:41:24,902 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\main\resources
2017-07-01 16:41:24,910 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 16:41:24,925 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\test\resources
2017-07-01 16:41:24,936 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TestNGDemo/src
2017-07-01 16:41:24,938 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /TestNGDemo/src/test/java because it overlaps with /TestNGDemo/src
2017-07-01 16:41:25,191 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-07-01 16:41:26,951 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: TestNGDemo:TestNGDemo:0.0.1-SNAPSHOT @ C:\Users\nitin\TestNG\TestNGDemo\pom.xml.
2017-07-01 16:41:27,879 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TestNGDemo/src
2017-07-01 16:41:27,880 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /TestNGDemo/src/test/java because it overlaps with /TestNGDemo/src
2017-07-01 16:41:28,040 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-07-01 16:41:28,329 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 16:41:28,366 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\main\resources
2017-07-01 16:41:28,382 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-01 16:41:28,392 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\nitin\TestNG\TestNGDemo\src\test\resources
2017-07-02 02:50:12,417 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-07-02 02:50:40,552 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\nitin\TestNG\TestNGDemo
2017-07-02 02:50:40,562 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2017-07-02 03:00:09,912 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.test.mavenTestNGDemo:mavenTestNG:0.0.1-SNAPSHOT @ C:\Users\nitin\TestNG\mavenTestNG\pom.xml.
